response	cluster	gene	group1	group2	n_group1	n_group2	p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj	pct.diff	n
responders	Trm_merge	BLM	responders_Pre	responders_Post	2112	459	1.8747284812825246e-17	0.6040103857199446	0.5288807784820049	0.35	0.146	6.513369162519875e-13	0.204	1
responders	Trm_merge	SLC27A2	responders_Pre	responders_Post	2112	459	1.9483286870662308e-17	0.5992466536277811	0.5718083566414904	0.308	0.115	6.769078357474206e-13	0.193	1
responders	Trm_merge	HERPUD1	responders_Pre	responders_Post	2112	459	2.6944119830212208e-17	0.6237920462797913	0.5603403702377545	0.707	0.58	9.361195552610628e-13	0.127	1
responders	Trm_merge	SMIM3	responders_Pre	responders_Post	2112	459	1.2038368189813712e-16	0.5948568610946062	0.5621322005900901	0.291	0.111	4.182490260186977e-12	0.18	1
responders	Trm_merge	TSHZ2	responders_Pre	responders_Post	2112	459	1.7886955300796518e-16	0.6095973006205849	0.6248647090834973	0.451	0.255	6.2144648801557345e-12	0.196	1
responders	Trm_merge	PIK3IP1	responders_Pre	responders_Post	2112	459	1.9644384419438831e-16	0.6175908389450057	0.5973217187220672	0.607	0.444	6.825048478845633e-12	0.16299999999999998	1
responders	Trm_merge	BTF3	responders_Pre	responders_Post	2112	459	3.1887191419077943e-16	0.6214153380207301	0.33290022803423636	0.949	0.954	1.1078566914730249e-11	-0.005	1
responders	Trm_merge	MT2A	responders_Pre	responders_Post	2112	459	3.777129362422899e-16	0.6150836386743249	0.9559327070999936	0.572	0.392	1.312288054386588e-11	0.17999999999999994	1
responders	Trm_merge	B2M	responders_Pre	responders_Post	2112	459	4.1219137129025794e-16	0.6209614527629234	0.2271217724473615	1	1	1.4320764812737429e-11	0	1
responders	Trm_merge	mm10---Lars2	responders_Pre	responders_Post	2112	459	4.3414982507657724e-16	0.5646306818181818	0.4039143933988952	0.129	0	1.5083667372635523e-11	0.129	1
responders	Trm_merge	GPR171	responders_Pre	responders_Post	2112	459	5.309233707987864e-16	0.6176558270614643	0.6161955912198323	0.665	0.523	1.8445870671662236e-11	0.14200000000000002	1
responders	Trm_merge	GK	responders_Pre	responders_Post	2112	459	6.175543870519404e-16	0.584105454050307	0.4761600910657672	0.231	0.063	2.145569206934556e-11	0.168	1
responders	Trm_merge	HMGB2	responders_Pre	responders_Post	2112	459	9.711999751718797e-16	0.6170141983561102	0.9299446863251852	0.679	0.569	3.374240073739661e-11	0.1100000000000001	1
responders	Trm_merge	TSPAN14	responders_Pre	responders_Post	2112	459	9.751628345084364e-16	0.6067558757509738	0.557463016107664	0.448	0.259	3.38800823593266e-11	0.189	1
responders	Trm_merge	SNX9	responders_Pre	responders_Post	2112	459	2.0508409399325952e-15	0.6063350003300984	0.701489767834885	0.456	0.292	7.125236677607815e-11	0.16400000000000003	1
responders	Trm_merge	HAVCR2	responders_Pre	responders_Post	2112	459	4.3739379470659745e-15	0.5661486185383244	0.428983146944411	0.145	0.013	1.5196372609491316e-10	0.13199999999999998	1
responders	Trm_merge	ISG20	responders_Pre	responders_Post	2112	459	7.104963321904863e-15	0.6143904320987654	0.44297624792342005	0.741	0.599	2.4684774069294067e-10	0.14200000000000002	1
responders	Trm_merge	MYL6B	responders_Pre	responders_Post	2112	459	8.22099639758516e-15	0.5764528454479435	0.4022159933128637	0.202	0.05	2.8562207784130123e-10	0.15200000000000002	1
responders	Trm_merge	ZNRF1	responders_Pre	responders_Post	2112	459	1.2884292881580271e-14	0.6089618612596553	0.5180706626471296	0.571	0.412	4.4763898758474326e-10	0.15899999999999995	1
responders	Trm_merge	NCAPH	responders_Pre	responders_Post	2112	459	1.8757480768735782e-14	0.581265576516802	0.4298160161160916	0.24	0.081	6.516911543481873e-10	0.15899999999999995	1
responders	Trm_merge	RDH10	responders_Pre	responders_Post	2112	459	2.406972522709399e-14	0.5832105780022446	0.551053861977449	0.256	0.094	8.362544635649265e-10	0.162	1
responders	Trm_merge	CARS	responders_Pre	responders_Post	2112	459	2.7056002259591532e-14	0.5952225481943619	0.6433589858338217	0.367	0.194	9.400066865049883e-10	0.173	1
responders	Trm_merge	CHN1	responders_Pre	responders_Post	2112	459	2.836056354574332e-14	0.5873362918399683	0.5497789933202224	0.291	0.124	9.853310592697603e-10	0.16699999999999998	1
responders	Trm_merge	ZFAND5	responders_Pre	responders_Post	2112	459	5.481979129761896e-14	0.6085373753878656	0.5351711726532231	0.638	0.499	1.9046040090531753e-9	0.139	1
responders	Trm_merge	ANKS1B	responders_Pre	responders_Post	2112	459	1.023169762571035e-13	0.5764703819238133	0.4765204121906806	0.222	0.072	3.554798706100547e-9	0.15000000000000002	1
responders	Trm_merge	NUSAP1	responders_Pre	responders_Post	2112	459	1.1087004667134641e-13	0.5898151242820361	0.68779419340171	0.332	0.17	3.851958031502588e-9	0.162	1
responders	Trm_merge	ETV7	responders_Pre	responders_Post	2112	459	1.1765745628437618e-13	0.5842261462665874	0.5137792394648039	0.282	0.12	4.087773003688081e-9	0.16199999999999998	1
responders	Trm_merge	ZMYND8	responders_Pre	responders_Post	2112	459	1.326866079910307e-13	0.5901710115864528	0.5204653904171506	0.34	0.168	4.60993082143238e-9	0.172	1
responders	Trm_merge	COTL1	responders_Pre	responders_Post	2112	459	1.3442744814025378e-13	0.6090180811381791	0.5370742552988692	0.747	0.673	4.670412830736836e-9	0.07399999999999995	1
responders	Trm_merge	EEF2	responders_Pre	responders_Post	2112	459	1.5153506097910665e-13	0.6095431438568694	0.3896921501762965	0.837	0.786	5.2647826235971034e-9	0.05099999999999993	1
responders	Trm_merge	CPM	responders_Pre	responders_Post	2112	459	1.8280602590632834e-13	0.5876798004555357	0.640191567524735	0.32	0.15	6.3512297580635664e-9	0.17	1
responders	Trm_merge	GRAMD1B	responders_Pre	responders_Post	2112	459	1.9186566000421082e-13	0.5903040824915825	0.5232526217707285	0.347	0.183	6.665988625526296e-9	0.16399999999999998	1
responders	Trm_merge	COX4I1	responders_Pre	responders_Post	2112	459	2.796779625007981e-13	0.6085956583811976	0.35512295079144396	0.947	0.946	9.716851451165226e-9	0.001	1
responders	Trm_merge	NFKBIA	responders_Pre	responders_Post	2112	459	5.09566912458539e-13	0.5971340240641712	0.6167197974024409	0.46	0.309	1.7703883239547022e-8	0.15100000000000002	1
responders	Trm_merge	CEBPB	responders_Pre	responders_Post	2112	459	6.288958506945475e-13	0.5980160056446822	0.537886195605948	0.484	0.329	2.1849728540680655e-8	0.15499999999999997	1
responders	Trm_merge	S100A4	responders_Pre	responders_Post	2112	459	6.949219026163345e-13	0.6067589704231862	0.4125872406897839	0.95	0.913	2.414367166259931e-8	0.03699999999999992	1
responders	Trm_merge	CAPZB	responders_Pre	responders_Post	2112	459	7.015944576236158e-13	0.6052131816531326	0.4294310043009933	0.712	0.612	2.4375496241217286e-8	0.09999999999999998	1
responders	Trm_merge	PDCD1	responders_Pre	responders_Post	2112	459	9.540964778750469e-13	0.5785149286987522	0.6676351943402193	0.259	0.111	3.314817393081275e-8	0.14800000000000002	1
responders	Trm_merge	MXD4	responders_Pre	responders_Post	2112	459	1.755098301203697e-12	0.5968343566382782	0.4353908442708727	0.502	0.333	6.097738027872005e-8	0.16899999999999998	1
responders	Trm_merge	LRRN3	responders_Pre	responders_Post	2112	459	1.90870210144239e-12	0.5857208729451376	0.6049375142578207	0.337	0.181	6.631403711041295e-8	0.15600000000000003	1
responders	Trm_merge	HIST1H1D	responders_Pre	responders_Post	2112	459	2.8832248286819536e-12	0.5873615649963689	0.5097795807436935	0.366	0.2	1.0017188022289712e-7	0.16599999999999998	1
responders	Trm_merge	TOB1	responders_Pre	responders_Post	2112	459	2.953457636391425e-12	0.5877581988182479	0.5350707254259197	0.369	0.216	1.0261197866114727e-7	0.153	1
