gene	distance	count	nCount_Spatial	cpm
IL23R	8	0	586713	0
IL23R	9	0	225972	0
IL23R	10	0	231868	0
IL26	1	1	2360927	0.423562439668825
IL26	2	7	2187821	3.1995304917541243
IL26	3	3	1586463	1.8909990336994937
IL26	4	4	897835	4.455161583141668
IL26	5	1	629984	1.5873419007466856
IL26	6	0	625463	0
IL26	7	0	776226	0
IL26	8	0	586713	0
IL26	9	0	225972	0
IL26	10	2	231868	8.625597322614592
IL36A	1	315	2360927	133.42216849567987
IL36A	2	279	2187821	127.52414388562867
IL36A	3	91	1586463	57.360304022217974
IL36A	4	21	897835	23.38959831149376
IL36A	5	35	629984	55.556966526134
IL36A	6	43	625463	68.749070688434
IL36A	7	22	776226	28.342261145594193
IL36A	8	29	586713	49.42791449993438
IL36A	9	3	225972	13.27598109500292
IL36A	10	9	231868	38.815187951765665
IL36G	1	2863	2360927	1212.659264771846
IL36G	2	2172	2187821	992.7686040128513
IL36G	3	1233	1586463	777.200602850492
IL36G	4	505	897835	562.4641498716356
IL36G	5	440	629984	698.4304363285416
IL36G	6	598	625463	956.0917272484544
IL36G	7	501	776226	645.4305833610315
IL36G	8	181	586713	308.4983629133835
IL36G	9	59	225972	261.09429486839076
IL36G	10	104	231868	448.53106077595874
LCN2	1	3118	2360927	1320.6676868873963
LCN2	2	3166	2187821	1447.101933841937
LCN2	3	1364	1586463	859.7742273220365
LCN2	4	372	897835	414.3300272321752
LCN2	5	511	629984	811.1317112815564
LCN2	6	551	625463	880.9473941703985
LCN2	7	537	776226	691.8088288720037
LCN2	8	195	586713	332.36011474093806
LCN2	9	54	225972	238.96765971005257
LCN2	10	137	231868	590.8534165990995
PI3	1	14874	2360927	6300.067727634103
PI3	2	11191	2187821	5115.135104745772
PI3	3	5598	1586463	3528.604196883255
PI3	4	2002	897835	2229.808372362405
PI3	5	1537	629984	2439.7445014476557
PI3	6	2352	625463	3760.4142850975995
PI3	7	2140	776226	2756.929038707799
PI3	8	781	586713	1331.1448698085776
PI3	9	278	225972	1230.240914803604
PI3	10	444	231868	1914.882605620439
PLAT	1	160	2360927	67.76999034701201
PLAT	2	134	2187821	61.24815512786466
PLAT	3	132	1586463	83.20395748277772
PLAT	4	77	897835	85.76186047547712
PLAT	5	42	629984	66.6683598313608
PLAT	6	30	625463	47.96446792216326
PLAT	7	39	776226	50.24309930355335
PLAT	8	36	586713	61.358790413711645
PLAT	9	17	225972	75.23055953834988
PLAT	10	13	231868	56.06638259699484
PRSS22	1	967	2360927	409.58487915975377
PRSS22	2	815	2187821	372.51676439708734
PRSS22	3	353	1586463	222.5075529653071
PRSS22	4	158	897835	175.9788825340959
PRSS22	5	158	629984	250.80002031797633
PRSS22	6	117	625463	187.06142489643673
PRSS22	7	150	776226	193.24268962905134
PRSS22	8	71	586713	121.01316998259796
PRSS22	9	30	225972	132.7598109500292
PRSS22	10	46	231868	198.38873842013558
PTPRC	1	38	2360927	16.09537270741535
PTPRC	2	40	2187821	18.28303138145214
PTPRC	3	34	1586463	21.431322381927597
PTPRC	4	16	897835	17.82064633256667
PTPRC	5	8	629984	12.698735205973485
PTPRC	6	9	625463	14.38934037664898
PTPRC	7	14	776226	18.035984365378127
PTPRC	8	20	586713	34.08821689650647
PTPRC	9	9	225972	39.827943285008764
PTPRC	10	9	231868	38.815187951765665
RHCG	1	2429	2360927	1028.8331659555759
RHCG	2	1936	2187821	884.8987188622835
RHCG	3	1039	1586463	654.9159986712581
RHCG	4	344	897835	383.1438961501835
RHCG	5	231	629984	366.6759790724844
RHCG	6	271	625463	433.2790268968748
RHCG	7	234	776226	301.45859582132005
RHCG	8	125	586713	213.05135560316543
RHCG	9	39	225972	172.58775423503795
RHCG	10	91	231868	392.46467817896394
S100A7A	1	6906	2360927	2925.122208352905
S100A7A	2	5722	2187821	2615.3876391167287
S100A7A	3	3700	1586463	2332.232141562709
S100A7A	4	1552	897835	1728.6026942589674
S100A7A	5	1243	629984	1973.0659826281303
S100A7A	6	1519	625463	2428.6008924588664
S100A7A	7	1355	776226	1745.625629649097
S100A7A	8	483	586713	823.2304380506313
S100A7A	9	230	225972	1017.8252172835572
S100A7A	10	352	231868	1518.1051287801681
SERPINB3	1	2387	2360927	1011.0435434894853
SERPINB3	2	1871	2187821	855.1887928674238
SERPINB3	3	1027	1586463	647.35200253646
SERPINB3	4	450	897835	501.20567810343766
SERPINB3	5	317	629984	503.1873825366994
