gene,patient,treatment,cpm,log10cpm
AC133644.2,P3,Pre,80.782,1.913
AC133644.2,P3,Mid,31.964,1.518
AC133644.2,P4,Pre,31.145,1.507
AC133644.2,P4,Mid,10.732,1.069
AC133644.2,P5,Pre,21.506,1.352
AC133644.2,P5,Mid,12.01,1.114
AC133644.2,P6,Pre,27.368,1.453
AC133644.2,P6,Mid,5.104,0.786
AC133644.2,P7,Pre,20.335,1.329
AC133644.2,P7,Mid,21.241,1.347
AC133644.2,P8,Pre,62.745,1.804
AC133644.2,P8,Mid,43.804,1.651
AC133644.2,P9,Pre,80.165,1.909
AC133644.2,P9,Mid,33.566,1.539
ACAP1,P1,Pre,287.396,2.46
ACAP1,P1,Mid,99.998,2.004
ACAP1,P2,Pre,173.613,2.242
ACAP1,P2,Mid,120.683,2.085
ACAP1,P3,Pre,99.981,2.004
ACAP1,P3,Mid,154.262,2.191
ACAP1,P4,Pre,140.245,2.15
ACAP1,P4,Mid,95.696,1.985
ACAP1,P5,Pre,150.128,2.179
ACAP1,P5,Mid,175.14,2.246
ACAP1,P6,Pre,152.781,2.187
ACAP1,P6,Mid,81.667,1.917
ACAP1,P7,Pre,123.875,2.096
ACAP1,P7,Mid,101.535,2.011
ACAP1,P8,Pre,114.534,2.063
ACAP1,P8,Mid,111.612,2.052
ACAP1,P9,Pre,132.714,2.126
ACAP1,P9,Mid,116.683,2.071
ACVR1C,P1,Pre,1.564,0.409
ACVR1C,P1,Mid,0,0
ACVR1C,P2,Pre,1.129,0.328
ACVR1C,P2,Mid,0,0
ACVR1C,P3,Pre,0,0
ACVR1C,P3,Mid,0,0
ACVR1C,P4,Pre,0.182,0.073
ACVR1C,P4,Mid,0,0
ACVR1C,P5,Pre,0.414,0.15
ACVR1C,P5,Mid,0,0
ACVR1C,P6,Pre,0.301,0.114
ACVR1C,P6,Mid,0,0
ACVR1C,P7,Pre,0.648,0.217
ACVR1C,P7,Mid,0.233,0.091
ACVR1C,P8,Pre,0,0
ACVR1C,P8,Mid,0.526,0.183
ACVR1C,P9,Pre,1.151,0.333
ACVR1C,P9,Mid,0.959,0.292
ADAMDEC1,P1,Pre,0.391,0.143
ADAMDEC1,P1,Mid,0,0
ADAMDEC1,P2,Pre,0.282,0.108
ADAMDEC1,P2,Mid,0,0
ADAMDEC1,P3,Pre,0,0
ADAMDEC1,P3,Mid,0,0
ADAMDEC1,P4,Pre,0,0
ADAMDEC1,P4,Mid,0,0
ADAMDEC1,P5,Pre,0,0
ADAMDEC1,P5,Mid,1.001,0.301
ADAMDEC1,P6,Pre,0,0
ADAMDEC1,P6,Mid,0,0
ADAMDEC1,P7,Pre,0,0
ADAMDEC1,P7,Mid,0,0
ADAMDEC1,P8,Pre,0,0
ADAMDEC1,P8,Mid,0,0
ADAMDEC1,P9,Pre,0,0
ADAMDEC1,P9,Mid,0,0
ADAMTS6,P1,Pre,2.737,0.573
ADAMTS6,P1,Mid,4.444,0.736
ADAMTS6,P2,Pre,1.694,0.43
ADAMTS6,P2,Mid,0,0
ADAMTS6,P3,Pre,3.989,0.698
ADAMTS6,P3,Mid,2.78,0.577
ADAMTS6,P4,Pre,4.918,0.772
ADAMTS6,P4,Mid,1.789,0.445
ADAMTS6,P5,Pre,8.272,0.967
ADAMTS6,P5,Mid,3.002,0.602
ADAMTS6,P6,Pre,3.308,0.634
ADAMTS6,P6,Mid,1.276,0.357
ADAMTS6,P7,Pre,2.917,0.593
ADAMTS6,P7,Mid,5.135,0.788
ADAMTS6,P8,Pre,3.984,0.698
ADAMTS6,P8,Mid,3.855,0.686
ADAMTS6,P9,Pre,9.206,1.009
ADAMTS6,P9,Mid,3.516,0.655
ADAT2,P1,Pre,8.602,0.982
ADAT2,P1,Mid,4.444,0.736
ADAT2,P2,Pre,7.622,0.936
ADAT2,P2,Mid,3.094,0.612
ADAT2,P3,Pre,22.44,1.37
ADAT2,P3,Mid,2.78,0.577
ADAT2,P4,Pre,13.66,1.166
ADAT2,P4,Mid,5.366,0.804
ADAT2,P5,Pre,17.37,1.264
ADAT2,P5,Mid,13.01,1.146
ADAT2,P6,Pre,17.143,1.259
ADAT2,P6,Mid,1.276,0.357
ADAT2,P7,Pre,9.965,1.04
ADAT2,P7,Mid,10.737,1.07
ADAT2,P8,Pre,20.666,1.336
ADAT2,P8,Mid,11.915,1.111
ADAT2,P9,Pre,17.26,1.262
ADAT2,P9,Mid,15.664,1.222
ADGRG1,P1,Pre,240.083,2.382
ADGRG1,P1,Mid,20,1.322
ADGRG1,P2,Pre,120.259,2.084
ADGRG1,P2,Mid,37.133,1.581
ADGRG1,P3,Pre,93,1.973
ADGRG1,P3,Mid,15.287,1.212
ADGRG1,P4,Pre,46.627,1.678
ADGRG1,P4,Mid,27.725,1.458
ADGRG1,P5,Pre,59.555,1.782
ADGRG1,P5,Mid,55.044,1.749
ADGRG1,P6,Pre,65.564,1.823
ADGRG1,P6,Mid,1.914,0.465
ADGRG1,P7,Pre,28.842,1.475
ADGRG1,P7,Mid,28.71,1.473
ADGRG1,P8,Pre,93.868,1.977
ADGRG1,P8,Mid,56.419,1.759
ADGRG1,P9,Pre,85.919,1.939
ADGRG1,P9,Mid,104.855,2.025
