p_val,auc,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.0005398559559096e-37,0.4455970881993119,-0.5165146670432057,0.263,0.314,6.70941056890493e-33,DC,SMAP1
3.145006772949594e-37,0.44185452466059405,-0.4999431670360742,0.368,0.394,1.054772371511835e-32,DC,NDUFA2
3.3337577728379387e-37,0.557493405907847,0.3781900836892391,0.569,0.375,1.1180756818543879e-32,DC,TRA2B
3.3940487409247324e-37,0.44896301344851114,-0.5515321368693399,0.201,0.264,1.1382960667313368e-32,DC,PREX1
3.854964211732904e-37,0.46007952551483805,-0.35711543346353025,0.069,0.143,1.2928778973309815e-32,DC,PHTF2
5.862524575281135e-37,0.45157876077373266,-0.4439628246891798,0.161,0.231,1.966173492057787e-32,DC,PDCD7
7.814844437616863e-37,0.4508861800332516,-0.513960904343583,0.176,0.241,2.620942527487944e-32,DC,MPG
8.888558425944966e-37,0.4617702860068567,-0.3622089722349806,0.06,0.131,2.9810447248934225e-32,DC,ANKZF1
9.52712742961313e-37,0.5630066294804849,0.26424035957486547,0.728,0.575,3.195207997343652e-32,DC,DBI
1.420879311014428e-36,0.4612482924445986,-0.3585615848644546,0.063,0.136,4.7653450332801885e-32,DC,SAP30
2.095703558539166e-36,0.450981166991296,-0.4877160363471562,0.176,0.244,7.028570594628655e-32,DC,GLG1
2.3655929100185856e-36,0.44764486448656304,-0.4640441777212699,0.234,0.294,7.933725501620332e-32,DC,LAMTOR2
2.550633800305545e-36,0.43889228503030786,-0.5172219668451323,0.563,0.506,8.554315639464737e-32,DC,NDUFA11
3.524302033166574e-36,0.46346666983661233,-0.33834249557574314,0.052,0.12,1.1819804158834056e-31,DC,RHBDD2
3.897394713512906e-36,0.5474689116115856,0.85787152144604,0.332,0.223,1.3071082390179583e-31,DC,MTRNR2L12
4.549922802975373e-36,0.46314016808438013,-0.31935760486021036,0.054,0.123,1.5259531096618807e-31,DC,PRPS1
5.217200887100435e-36,0.4546535875238498,-0.4539719099961949,0.129,0.202,1.749744833515744e-31,DC,SMARCA2
5.760925697472813e-36,0.4372591943387423,-0.29398378194440355,0.642,0.603,1.9320992604184321e-31,DC,SELENOK
6.844649890642836e-36,0.4476021945640041,-0.4042264059838403,0.245,0.3,2.2955586803237944e-31,DC,RECQL
9.676624062867314e-36,0.46119433506169977,-0.2942490247131516,0.069,0.14,3.2453461782044395e-31,DC,RNF113A
1.276445470875167e-35,0.45269081982902487,-0.458008929015431,0.155,0.229,4.280942820221135e-31,DC,ARID5A
1.3449136541111825e-35,0.4600364596806535,-0.3146286136212211,0.077,0.151,4.510571413158084e-31,DC,ZNF791
1.349097840733806e-35,0.4564520459255496,-0.4084064485930283,0.115,0.185,4.524604338253038e-31,DC,HDAC1
1.4383445381178573e-35,0.4615085347057076,-0.3403578475265012,0.068,0.138,4.82391991193967e-31,DC,CCDC69
1.5908491284998695e-35,0.4552857519513196,-0.4421322655050585,0.128,0.199,5.335389807162862e-31,DC,WASHC3
1.6604901066485182e-35,0.4361626653646015,-0.32737982258154297,0.758,0.749,5.568951719677801e-31,DC,CCNI
1.8343438311316213e-35,0.43853108430992777,-0.38142324112010173,0.612,0.557,6.152022340849231e-31,DC,SNRPB
2.0079525511791634e-35,0.4608937665156947,-0.3191781561147403,0.072,0.144,6.734271266144678e-31,DC,NOL8
2.6710675270924705e-35,0.46365208778474865,-0.3033405759400635,0.053,0.122,8.958226272362728e-31,DC,GPATCH11
3.1175281188124674e-35,0.43757201426057757,-0.5003274585571249,0.637,0.629,1.0455565804873253e-30,DC,SMAP2
3.2610283022924955e-35,0.45255989245130324,-0.4595083131604527,0.167,0.234,1.0936836720228572e-30,DC,NAA38
3.593887044657242e-35,0.4644949547877379,-0.31747516317178737,0.05,0.117,1.2053178370371458e-30,DC,EBPL
4.579696096469982e-35,0.5481748926674133,0.2882014608897375,0.375,0.241,1.5359384768341025e-30,DC,SLC16A3
4.69540635487901e-35,0.45781753915359563,-0.39662668774430515,0.098,0.175,1.5747453832993224e-30,DC,ASAH1
4.820974496231449e-35,0.4557605763239775,-0.3980827720550022,0.125,0.197,1.6168584265461032e-30,DC,ANKRD49
4.861983129805176e-35,0.4381382414968404,-0.39553913865977663,0.64,0.602,1.63061190207406e-30,DC,ISCU
9.850748778465407e-35,0.4411602249872261,-0.5168825971068277,0.501,0.475,3.303744125321728e-30,DC,REEP5
1.1153951097985421e-34,0.455766433428629,-0.5182917302847838,0.129,0.2,3.7408121192423506e-30,DC,HIPK2
1.9529330473861873e-34,0.4528999785481553,-0.5363865995204911,0.173,0.237,6.549746854323794e-30,DC,PCNX1
2.0605108083939284e-34,0.5475527643012257,0.5258956736640925,0.371,0.239,6.910541149191557e-30,DC,POLR2A
2.3130892244716385e-34,0.4641644203075408,-0.3229589201450471,0.055,0.122,7.757638641032981e-30,DC,PUS7L
2.607390987515091e-34,0.46711455777492095,-0.29796143983556655,0.038,0.101,8.744667893928112e-30,DC,C12orf76
2.7630643485947257e-34,0.4521734966312944,-0.47283230356364486,0.184,0.248,9.266765212316991e-30,DC,IER3IP1
2.811871344317649e-34,0.4606833892243499,-0.382605537571688,0.082,0.152,9.430454114572532e-30,DC,AKAP11
2.8273576452294052e-34,0.45465669911069595,-0.39131185574360244,0.146,0.216,9.48239207057038e-30,DC,TBRG1
2.8709871279684167e-34,0.46277939112870475,-0.3320685697880934,0.064,0.134,9.628716629780476e-30,DC,TIFA
5.569619857046931e-34,0.4645527091421814,-0.28278155216362416,0.054,0.121,1.8679391076563997e-29,DC,AC044849.1
5.965488105925065e-34,0.46575980290365365,-0.2992189148615211,0.047,0.112,2.000705400965148e-29,DC,ANK3
6.138043823119445e-34,0.4389931052189359,-0.4678666217737788,0.692,0.613,2.0585771373977993e-29,DC,EIF3E
8.205385082901904e-34,0.4572457621913052,-0.34095783645397004,0.116,0.19,2.751922049103641e-29,DC,SELENOM
1.1826546006218917e-33,0.45635137693935146,-0.42304924377494535,0.134,0.201,3.9663869995657e-29,DC,NUDCD2
1.2256419497995325e-33,0.46764783680801325,-0.2588528110028424,0.037,0.1,4.110557971237672e-29,DC,MCRIP2
1.2944284820772848e-33,0.4612307420204534,-0.3058579861303108,0.081,0.151,4.3412542431907977e-29,DC,COMMD8
1.295020845420632e-33,0.45734196573205826,-0.3887101622001046,0.121,0.19,4.3432409113717154e-29,DC,RCN2
2.3501735420780755e-33,0.4557496768172406,-0.4299560797488864,0.142,0.21,7.88201202542145e-29,DC,MITD1
2.677988837106063e-33,0.4397032841316979,-0.3666302543995039,0.686,0.606,8.981438961886314e-29,DC,COX7B
2.8891858777122262e-33,0.45480049759525965,-0.44049039312853355,0.156,0.223,9.689751596671265e-29,DC,RBM26
3.49564314943153e-33,0.453669593942393,-0.3748489716468138,0.17,0.239,1.1723687994563465e-28,DC,MBD4
3.657208517055424e-33,0.44230959622634547,-0.5704084917866361,0.513,0.485,1.2265545924500483e-28,DC,ATRX
3.699190963444139e-33,0.4532651194844873,-0.6425472489671974,0.187,0.245,1.2406346653198952e-28,DC,SOS1
5.192403826239924e-33,0.4508901888871486,-0.5176410203743096,0.231,0.282,1.7414283952443457e-28,DC,SRPRA
5.6094208725368874e-33,0.5463231911153452,1.1374567122088,0.332,0.238,1.8812875722314212e-28,DC,HSPH1
5.71206048171732e-33,0.45701468807262013,-0.3739448463584422,0.129,0.198,1.9157108443583547e-28,DC,POLR2G
6.827944387554606e-33,0.4674546518297956,-0.26393940277048894,0.042,0.104,2.2899559886980637e-28,DC,GRK6
6.95404609838123e-33,0.4611756675301287,-0.35119606017160776,0.087,0.155,2.332247980475097e-28,DC,GIT2
1.1631038434622142e-32,0.44486711271051893,-0.5108568320263224,0.423,0.417,3.900817670203574e-28,DC,SELENOF
2.742370752423851e-32,0.46414140371660545,-0.27330819722264055,0.066,0.132,9.197363029479111e-28,DC,ACBD6
4.089038737989264e-32,0.4404148457508909,-0.4239739455557179,0.671,0.639,1.3713818119468394e-27,DC,SEC62
4.565411912786351e-32,0.46047073991754595,-0.3914757983766932,0.101,0.167,1.5311478473102865e-27,DC,AKT3
6.026708994482456e-32,0.46328437640710896,-0.3131971564508364,0.074,0.141,2.021237662569526e-27,DC,LRRC8C
8.280816417983385e-32,0.4615056200799214,-0.34567918136920217,0.092,0.159,2.7772202102632674e-27,DC,IFNAR2
9.95218506316073e-32,0.44698067598130004,-0.5808342924275569,0.369,0.383,3.337763826482845e-27,DC,NDUFB1
1.0417334425047967e-31,0.46778009218076033,-0.42529968670681406,0.044,0.106,3.4937656194725874e-27,DC,CMSS1
1.1312948611068197e-31,0.4658049786085865,-0.28047388520541955,0.057,0.121,3.794136705180052e-27,DC,GOLGA8B
1.2241728619692326e-31,0.46128740214678604,-0.3667234181002225,0.096,0.162,4.105630944472413e-27,DC,DDX1
1.4258725214026701e-31,0.4626259256361581,-0.32277981380761994,0.083,0.149,4.782091262280275e-27,DC,TMEM263
1.5947708005675062e-31,0.45730327482081146,-0.462936601834326,0.143,0.207,5.3485423109433025e-27,DC,RICTOR
1.6224623232679684e-31,0.4421298046002046,-0.4694027680614188,0.631,0.562,5.4414141397761126e-27,DC,EIF3F
1.814620091234949e-31,0.4649109703679546,-0.2966864595479577,0.063,0.13,6.085872861983772e-27,DC,NDUFAF2
1.966203425893248e-31,0.4467896804540569,-0.5455346116875587,0.389,0.394,6.594253049760775e-27,DC,LSM8
2.0583583550628066e-31,0.46527409195604563,-0.38071326254022875,0.064,0.127,6.90332225120964e-27,DC,RPAP2
2.261884466691745e-31,0.45923501319067117,-0.4090229022047771,0.12,0.186,7.585908124390775e-27,DC,TRAPPC2L
2.5614781357492137e-31,0.4618327535001995,-0.3915734625535345,0.093,0.159,8.590685371675713e-27,DC,NPAT
2.5652060065150713e-31,0.4639282122695102,-0.3154590455970785,0.073,0.139,8.603187904650246e-27,DC,NFATC3
3.0756311974825856e-31,0.5348608144329882,-1.65611271333007,0.207,0.126,1.0315051910117096e-26,DC,IL1B
3.4418905148481576e-31,0.4411161743477418,-0.3449261831817767,0.736,0.656,1.1543412408697751e-26,DC,MORF4L1
3.8343175063946425e-31,0.44370552093290705,-0.3531286810121108,0.538,0.504,1.2859534052946353e-26,DC,SF3B1
4.669730991332753e-31,0.4431637069205501,-0.4715643498610369,0.6,0.532,1.5661343798731786e-26,DC,UBE2D2
5.009686007808588e-31,0.4532085289908526,-0.4607713015997471,0.214,0.27,1.6801484932988444e-26,DC,DYNLT3
5.817693164909156e-31,0.45433543771636187,-0.5008274824120476,0.201,0.253,1.9511379336472329e-26,DC,URI1
6.1689639763641506e-31,0.5339781891489676,-0.8484554628583296,0.198,0.12,2.0689471383930089e-26,DC,CXCL3
6.209919869357566e-31,0.45897619442085913,-0.3483136373197617,0.125,0.192,2.0826829257851406e-26,DC,TERF1
7.504512863284289e-31,0.4552500204297362,-0.4632032434178216,0.18,0.241,2.5168635240882847e-26,DC,GPI
8.436559326531883e-31,0.4418901945075021,-0.33473159054233625,0.693,0.624,2.829453266932263e-26,DC,CNBP
1.049308862919034e-30,0.46445077781464444,-0.3511307230716375,0.074,0.138,3.519172064457856e-26,DC,SURF2
1.0534886603758015e-30,0.4506740559559408,-0.4364615308842318,0.273,0.32,3.533190269168363e-26,DC,POLR2J3.1
1.3988088217941353e-30,0.4631720339964737,-0.2981038992175048,0.084,0.15,4.691325026533171e-26,DC,C12orf10
1.654142244027977e-30,0.45043703321534406,-0.5635855488580066,0.303,0.328,5.547662258021029e-26,DC,CCNDBP1
2.3806552874760822e-30,0.4470987312574268,-0.5175237974585081,0.423,0.413,7.984241703137284e-26,DC,SCAND1
2.7162426932402933e-30,0.44419397043505066,-0.41235178523782046,0.556,0.519,9.109734744589295e-26,DC,ATP6V1F
2.7181407839571077e-30,0.46047346752980045,-0.41804785726125065,0.116,0.18,9.116100561235348e-26,DC,JPX
3.309488637368938e-30,0.46107962812359227,-0.35831599010558524,0.109,0.174,1.1099362992007945e-25,DC,CNTRL
3.435263684580033e-30,0.552354192487756,0.39995000240011236,0.595,0.397,1.1521187345344513e-25,DC,BRD2
3.692566316941779e-30,0.46936083698900855,-0.297290189188354,0.043,0.1,1.2384128913759337e-25,DC,SH3YL1
4.0549321429984835e-30,0.4500021362316982,-0.5399723776184553,0.322,0.345,1.3599431421188314e-25,DC,BRD7
4.612493975310813e-30,0.5315771870747588,0.35214779015966347,0.172,0.105,1.5469382294397406e-25,DC,NEU1
6.39693368234764e-30,0.4554315946529449,-0.40627963123877203,0.186,0.249,2.145403618385751e-25,DC,MDM4
6.587573105975452e-30,0.4658748142361266,-0.29019937636626486,0.065,0.129,2.2093402682820473e-25,DC,JMY
8.070356506484429e-30,0.45272705668504487,-0.5198948047372876,0.255,0.295,2.706636165144748e-25,DC,POLR2I
9.254616415591604e-30,0.4435404715436778,-0.39640493227532825,0.639,0.582,3.103813253461112e-25,DC,SNRPG
9.552240446719119e-30,0.4530655770409456,-0.5243276895403495,0.251,0.29,3.203630401020658e-25,DC,ACP1
1.0084009543097266e-29,0.44176160778318485,-0.3427628267571934,0.81,0.771,3.381975120563961e-25,DC,RPL36A
1.0938713612907228e-29,0.4477326544078965,-0.5113516590163553,0.42,0.412,3.668625771496826e-25,DC,SSU72
1.295041903750358e-29,0.4626959910516015,-0.29197681572099143,0.095,0.161,4.343311536797951e-25,DC,GOLGA8A
1.427200565492476e-29,0.4685100447902382,-0.2566688548585498,0.049,0.109,4.786545256548666e-25,DC,HINT2
1.686781728513904e-29,0.4632510989407524,-0.3490302504311186,0.092,0.156,5.657128561089931e-25,DC,CNPY3
1.749298020204832e-29,0.4452542844377336,-0.5310233517475074,0.547,0.507,5.866795700162965e-25,DC,KMT2A
2.168461258393085e-29,0.46715911076458344,-0.33231050239816684,0.06,0.121,7.272585368398728e-25,DC,NFATC2
2.3760073414532584e-29,0.46548515463208895,-0.32180987863911015,0.072,0.136,7.968653421765938e-25,DC,TULP4
2.427669764653615e-29,0.44556287666004973,-0.4905849573701857,0.528,0.5,8.141918856695294e-25,DC,TNFAIP3
2.533451507397374e-29,0.4532136549521755,-0.505304958401768,0.256,0.294,8.496689665509314e-25,DC,LRP10
2.86927620362874e-29,0.4464476894055392,-0.5286966258919232,0.489,0.467,9.622978531730069e-25,DC,EIF3J
3.2483254521491456e-29,0.44575753586195854,-0.3630987586450072,0.548,0.496,1.0894233901417805e-24,DC,SUMO1
3.2733689378915447e-29,0.4602747606786343,-0.38841494069568394,0.128,0.191,1.0978224743900662e-24,DC,SRPK2
3.5261454205496953e-29,0.46535065310745616,-0.33036782261647557,0.076,0.138,1.1825986511439568e-24,DC,MRPL17
3.75976920956144e-29,0.46523555622624,-0.26122907801303846,0.076,0.139,1.2609513975027158e-24,DC,TRIM52
4.0051104035253054e-29,0.46422560854874667,-0.35009753584986414,0.087,0.149,1.343233927134317e-24,DC,XPA
4.0303435593726715e-29,0.4557272501147323,-0.47488940229441207,0.203,0.254,1.3516966229424065e-24,DC,MAT2B
5.589409344877179e-29,0.4593423639316153,-0.3942981906505821,0.142,0.205,1.8745761060849084e-24,DC,PAXX
8.329755037225752e-29,0.4682609875299278,-0.29108882769157873,0.056,0.115,2.7936332443847724e-24,DC,SLC2A4RG
8.737940011660109e-29,0.46689347296413514,-0.29478504376500475,0.066,0.126,2.9305303211105675e-24,DC,DLGAP1-AS1
8.760115780201553e-29,0.45297475511299223,-0.5057552546017494,0.274,0.307,2.9379676303639967e-24,DC,AIP
9.239437485298628e-29,0.44795806141972017,-0.5420207516862808,0.452,0.432,3.0987225438194536e-24,DC,PET100
1.170263033229764e-28,0.46462719126018126,-0.36973408056901425,0.086,0.148,3.924828160845983e-24,DC,KAT6B
2.0315886997551445e-28,0.4681938874726648,-0.272034271674974,0.058,0.117,6.813542181238804e-24,DC,AZI2
