gene,distance,cpm
SLC6A14,3,166.40791496555545
SLC6A14,4,67.94121414291044
SLC6A14,5,133.3367196627216
SLC6A14,6,151.887481753517
SLC6A14,7,118.52218297248484
SLC6A14,8,78.40289886196489
SLC6A14,9,35.40261625334112
SLC6A14,10,77.63037590353133
SPRR2A,1,9805.894040772968
SPRR2A,2,8750.258819162993
SPRR2A,3,5912.523645367084
SPRR2A,4,3708.922017965439
SPRR2A,5,5906.499212678417
SPRR2A,6,5752.538519464781
SPRR2A,7,4792.418702800473
SPRR2A,8,2375.948717686501
SPRR2A,9,2022.374453472111
SPRR2A,10,3674.504459433816
SPRR2B,1,1003.4194195754465
SPRR2B,2,919.6364784870426
SPRR2B,3,584.9490344243767
SPRR2B,4,427.6955119816002
SPRR2B,5,903.1975415248642
SPRR2B,6,708.2753096506108
SPRR2B,7,729.169082200287
SPRR2B,8,361.33509910296857
SPRR2B,9,385.0034517550847
SPRR2B,10,564.9766246312557
SPRR2D,1,7703.75365269659
SPRR2D,2,6799.9164465465865
SPRR2D,3,4302.653134677582
SPRR2D,4,2503.800809725618
SPRR2D,5,4249.314268298877
SPRR2D,6,4099.363191747553
SPRR2D,7,3581.431181125085
SPRR2D,8,1982.2298125318512
SPRR2D,9,1562.140442178677
SPRR2D,10,3152.655821415633
SPRR2F,1,1747.618626073572
SPRR2F,2,1405.9651132336696
SPRR2F,3,951.8028469620784
SPRR2F,4,359.75429783868975
SPRR2F,5,536.5215624523798
SPRR2F,6,572.3759838711483
SPRR2F,7,329.80085696691424
SPRR2F,8,252.25280503414783
SPRR2F,9,296.49691112173184
SPRR2F,10,677.1093898252454
TNF,1,5.0827492760259
TNF,2,6.399060983508249
TNF,3,3.781998067398987
TNF,4,5.568951978927085
TNF,5,6.349367602986742
TNF,6,3.197631194810884
TNF,7,6.441422987635045
TNF,8,10.226465068951942
TNF,9,8.85065406333528
TNF,10,17.251194645229184
ZC3H12A,1,522.67605055133
ZC3H12A,2,446.5630414919685
ZC3H12A,3,465.8160953013086
ZC3H12A,4,488.95398374979806
ZC3H12A,5,452.3924417128054
ZC3H12A,6,404.5003461435769
ZC3H12A,7,376.1791024778866
ZC3H12A,8,303.3851303789076
ZC3H12A,9,376.1527976917494
ZC3H12A,10,280.3319129849742
