cluster	gene	Status
Trm	GALNT2	All
Trm	TNFRSF18	All
Trm	MSI2	All
Trm	MS4A6A	All
Trm	ZNF282	All
Trm	IGHG1	All
Trm	SYTL3	Strict
Trm	CXCL13	Strict
Trm	HLA-DQA1	All
Trm	TNIP3	All
Trm	FBXO32	All
Trm	TSPAN14	Strict
Trm	NDFIP2	All
Trm	PDE7B	All
Trm	NUSAP1	All
Trm	CTLA4	All
Trm	MKI67	All
Trm	MT1E	All
Trm	ZBTB16	All
Trm	NBAS	All
Trm	MCAM	All
Trm	AC099552.1	All
Trm	DUSP4	All
Trm	S100A2	All
Trm	NCAPH	All
Trm	AC008011.2	All
Trm	HLA-DQB1	All
Trm	ZMYND8	All
Trm	NINJ2	All
Trm	HELLS	All
Trm	HIST1H1D	Strict
Trm	TMC8	All
Trm	DDIT4	All
Trm	TXNIP	Strict
Trm	HMGB2	Strict
Trm	MPST	All
Trm	TNFSF11	All
Trm	ADAT2	All
Trm	IL1RL1	All
Trm	ZCRB1	All
Trm	BIN1	All
Trm	IKZF4	All
Trm	ST3GAL1	All
Trm	PDCD1	All
Trm	GLCCI1	All
Trm	VDR	All
Trm	MAP3K1	All
Trm	TP53I3	All
Trm	PSD	All
Trm	CYGB	All
Trm	HLA-DRA	All
Trm	IL26	All
Trm	TRERF1	All
Trm	CXCL5	All
Trm	SYNJ2	All
Trm	AL390728.6	All
Trm	AL031056.1	All
Trm	HLA-DPA1	All
Trm	BATF	Strict
Trm	CASS4	All
Trm	ICA1	All
Trm	PROK2	All
Trm	KIAA0319L	All
Trm	TWIST1	All
Trm	PLIN2	All
Trm	PTHLH	All
Trm	GRAMD1A	All
Trm	JAKMIP1	All
Trm	HTRA3	All
Trm	CCDC6	All
Trm	ZNF581	All
Trm	ATP6V1A	All
Trm	HIST1H2BN	All
Trm	ANKRD26	All
Trm	MIR3142HG	All
Trm	SLC1A5	All
Trm	CHST7	All
Trm	TSPAN5	All
Trm	MGST2	All
Trm	HIST3H2A	All
Trm	LDB1	All
Trm	DAPK2	All
Trm	SMIM3	All
Trm	HLA-DPB1	All
Trm	YES1	All
Trm	METTL8	All
Trm	CARS	All
Trm	DCP1B	All
Trm	HPGD	Strict
Trm	IL17A	All
Trm	GZMB	All
Trm	SOX4	All
Trm	HAVCR2	All
Trm	ADGRG1	Strict
Trm	IL2RA	All
Trm	TNS3	All
Trm	C11orf96	All
Trm	HLA-DQA1	All
Trm	SMAP2	Strict
Trm	GNLY	All
Trm	CXCL13	Strict
Trm	BCAT1	All
Trm	SYTL3	Strict
Trm	NKG7	All
Trm	ANKS1B	All
Trm	MYL6B	All
Trm	LRMP	All
Trm	GK	All
Trm	ZNF282	All
Trm	CADM1	All
Trm	NUSAP1	All
Trm	SLC27A2	All
Trm	LYPD6B	All
Trm	HIPK2	All
Trm	NCAPH	All
Trm	IL26	All
Trm	ETV7	All
Trm	CPM	All
Trm	TSC22D3	Strict
Trm	YBX3	All
Trm	CTLA4	All
Trm	MSI2	All
Trm	ST3GAL1	All
Trm	TSHZ2	Strict
Trm	NPDC1	All
Trm	S100A2	All
Trm	GALNT2	All
Trm	AC099552.1	All
Trm	ZMYND8	All
Trm	TNFRSF4	All
Trm	KLRC2	All
Trm	MAP3K1	All
Trm	GYPC	Strict
Trm	LINC02446	All
Trm	TSPAN13	All
Trm	ENTPD1	All
Trm	HLA-DRA	All
Trm	TSPAN14	Strict
Trm	VDR	All
Trm	SATB1	All
Trm	MCAM	All
Trm	CARS	All
Trm	ADAT2	All
Trm	SLA2	All
Trm	TMC8	All
Trm	ZBTB16	All
Trm	TNIP3	All
Trm	DCP1B	All
Trm	GNG4	All
Trm	DDIT4	All
Trm	MKI67	All
Trm	PER1	All
Trm	KIAA0319L	All
Trm	AREG	All
Trm	FBXO32	All
Trm	TNFRSF18	All
Trm	PPFIBP1	All
Trm	GLCCI1	All
Trm	PDE3B	Strict
Trm	SMIM3	All
Trm	AL031056.1	All
Trm	FES	All
Trm	KLRC1	All
Trm	NINJ2	All
Trm	BIN1	All
Trm	FKBP5	Strict
Trm	SAP30	All
Trm	RDH10	All
Trm	CASS4	All
Trm	AL357060.1	All
Trm	EVA1B	All
Trm	AHI1	Strict
Trm	AL096865.1	All
Trm	HTRA3	All
Trm	AC017002.3	All
Trm	PDCD1	All
Trm	TRERF1	All
Trm	NBAS	All
Trm	TXNIP	Strict
Trm	DAPK2	All
Trm	CHN1	All
Trm	ODAPH	All
Trm	GABPB1-AS1	All
Trm	AC008011.2	All
Trm	ATP8B4	All
Trm	AC005224.3	All
Trm	PTPN13	All
Trm	NAB1	All
Trm	XYLT1	All
Trm	ATP6V1A	All
Trm	CEBPA	All
Trm	PM20D2	All
Trm	MT2A	All
Trm	MRPL10	All
Trm	TNFRSF9	All
Trm	AC147651.4	All
Trm	METTL8	All
Trm	ANKRD9	All
Trm	DMD	All
Trm	MT1E	All
Trm	HLA-DQB1	All
Trm	GPR34	All
Trm	FUCA1	All
Trm	TST	All
Trm	IL1RL1	All
Trm	IL17F	All
Trm	AC009948.1	All
Trm	ARMC5	All
Trm	TMED8	All
Trm	PRDM1	All
Trm	CDH17	All
Trm	ICA1	All
Trm	SNX9	All
Trm	TP53INP1	All
Trm	HIST3H2A	All
Trm	GRAMD1B	All
Trm	CCDC6	All
Trm	D2HGDH	All
Trm	AC133644.2	All
Trm	CHRM3-AS2	All
Trm	ZC3H12C	All
Trm	TSPAN5	All
Trm	CYGB	All
Trm	TP53I3	All
Trm	LINC00467	All
Trm	SERPINB9	All
Trm	AL606807.1	All
Trm	ZEB2	All
Trm	TOB1	All
Trm	CXCL5	All
Trm	ANKRD26	All
Trm	AGPAT5	All
Trm	FUT7	All
Trm	FURIN	Strict
Trm	HLA-DPA1	All
Trm	BATF	Strict
Trm	ZNF581	All
Trm	PTGER2	All
Trm	C16orf86	All
Trm	RGS6	All
Trm	AL441992.1	All
Trm	IL22	All
Trm	SLC2A1	All
Trm	NEAT1	Strict
Trm	MIR3142HG	All
Trm	CCDC34	All
Trm	MXD4	All
Trm	PTPN3	All
Trm	AC016831.5	All
Trm	B4GALT1	All
Trm	SYNJ2	All
Trm	ZCRB1	All
Trm	TIMP2	All
Trm	NUDT19	All
Trm	ZC2HC1A	All
Trm	HIST1H2BN	All
Trm	KLF2	All
Trm	AL353622.1	All
Trm	NSUN7	All
Trm	CEBPB	All
Trm	AC020571.1	All
Trm	KCNE3	All
Trm	SGSH	All
Trm	RUNX2	All
Trm	CABLES1	All
Trm	KLRD1	All
Trm	MAST4	All
Trm	LDB1	All
Trm	SRGN	Strict
Trm	CBLB	All
Trm	MUC20-OT1	All
Trm	IGKC	All
Trm	GNLY	All
Trm	IGHA1	All
Trm	HPGD	Strict
Trm	IGHG1	All
Trm	GZMB	All
Trm	MT1E	All
Trm	IL2RA	All
Trm	HAVCR2	All
Trm	GK	All
Trm	HIST1H1D	Strict
Trm	YBX3	All
Trm	AL136454.1	All
Trm	NPDC1	All
Trm	SMAP2	Strict
Trm	KIAA0319L	All
Trm	TNFRSF4	All
Trm	GNG4	All
Trm	MYL6B	All
Trm	ADGRG1	Strict
Trm	CADM1	All
Trm	TSC22D3	Strict
Trm	TSHZ2	Strict
Trm	CTLA4	All
Trm	CXCL5	All
Trm	HLA-DRA	All
Trm	MSI2	All
Trm	TNFRSF9	All
Trm	BCAT1	All
Trm	GYPC	Strict
Trm	IL17A	All
Trm	AREG	All
Trm	LRMP	All
Trm	DDIT4	All
Trm	TNFRSF18	All
Trm	MT2A	All
Trm	HLA-DQA1	All
Trm	SOX4	All
Trm	CPM	All
Trm	CXCL13	Strict
Trm	SYTL3	Strict
Trm	HIPK2	All
Trm	S100A2	All
Trm	PDE3B	Strict
Trm	SATB1	All
Trm	ZNF581	All
Trm	ZNF282	All
Trm	TMC8	All
Trm	GLCCI1	All
Trm	ETV7	All
Trm	HLA-DPB1	All
Trm	ZBTB16	All
Trm	SLC27A2	All
Trm	TXNIP	Strict
Trm	TNIP3	All
Trm	ANKS1B	All
Trm	TSPAN14	Strict
Trm	NINJ2	All
Trm	BIN1	All
Trm	CARS	All
Trm	RCSD1	All
Trm	METTL8	All
Trm	GALNT2	All
Trm	C6orf48	All
Trm	FKBP5	Strict
Trm	ST3GAL1	All
Trm	PPFIBP1	All
Trm	PER1	All
Trm	ZBED4	All
Trm	JAKMIP1	All
Trm	TNS3	All
Trm	C11orf96	All
Trm	NCAPH	All
Trm	ATP6V1A	All
Trm	NDFIP2	All
Trm	LYPD6B	All
Trm	KLF9	All
Trm	FCMR	All
Trm	AHI1	Strict
Trm	AGPAT5	All
Trm	LAG3	All
Trm	AC008011.2	All
Trm	CCR7	Strict
Trm	TSPAN5	All
Trm	ICA1	All
Trm	SAP30	All
Trm	SND1	All
Trm	HIST3H2A	All
Trm	HLA-DQB1	All
Trm	DAPP1	All
Trm	MCAM	All
Trm	RDH10	All
Trm	PIK3IP1	Strict
Trm	IL1RL1	All
Trm	KLRD1	All
Trm	EVA1B	All
Trm	SLC7A5	All
Trm	SMIM3	All
Trm	PDCD1	All
Trm	FURIN	Strict
Trm	NFKBIA	All
Trm	HIST1H1E	All
Trm	FUCA1	All
Trm	FBXO32	All
Trm	MS4A6A	All
Trm	MRPL10	All
Trm	LINC02446	All
Trm	ZCRB1	All
Trm	LIMS1	All
Trm	NKG7	All
Trm	PNMA5	All
Trm	TBCEL	All
Trm	FCER1G	All
Trm	ZMYND8	All
Trm	GSTZ1	All
Trm	TSPAN13	All
Trm	CACNA2D4	All
Trm	CXCL8	All
Trm	AL441992.1	All
Trm	VSIR	All
Trm	MAN1A1	All
Trm	SNX9	All
Trm	AL031056.1	All
Trm	MKI67	All
Trm	ACP5	All
Trm	VDR	All
Trm	JUN	All
Trm	GFPT2	All
Trm	KLF2	All
Trm	MAST4	All
Trm	SRGN	Strict
Trm	GRAMD1B	All
Trm	HLA-DPA1	All
Trm	F5	All
Trm	CIRBP	All
Trm	PTPN13	All
Trm	GABPB1-AS1	All
Trm	SNHG7	All
Trm	NUSAP1	All
Trm	ODAPH	All
Trm	DCP1B	All
Trm	MAP3K1	All
Trm	ZC2HC1A	All
Trm	TRERF1	All
Trm	COL5A3	All
Trm	CASS4	All
Trm	CAV1	All
Trm	LINC00467	All
Trm	NSUN7	All
Trm	EPB41L4A-AS1	All
Trm	PTPRJ	All
Trm	JCHAIN	All
Trm	MPST	All
Trm	IL26	All
Trm	SNX29	All
Trm	SELL	All
Trm	PTPN3	All
Trm	SYNJ2	All
Trm	EIF4G3	All
Trm	SLA2	All
Trm	CEBPB	All
Trm	NEAT1	Strict
Trm	HSPA6	All
Trm	KLRC2	All
Trm	HELLS	All
Trm	NPM1	All
Trm	XYLT1	All
Trm	CH25H	All
Trm	GCHFR	All
Trm	ARRDC2	All
Trm	HERPUD1	All
Trm	AL096865.1	All
Trm	ADA	All
Trm	FAM184A	All
Trm	CCDC6	All
Trm	TNFSF11	All
Trm	ATP11A	All
Trm	TOB1	All
Trm	KCNE3	All
Trm	G0S2	All
Trm	PMAIP1	All
Trm	HTRA3	All
Trm	SLC9A7	All
