CellType	gene_name	log2FoldChange_il23	log2FoldChange_il17	padj_il23	padj_il17	significant_il23	significant_il17	radar_gene	pv50_gene
Teff	SPEN	0.072	0.32	0.951	0.783	FALSE	FALSE	FALSE	FALSE
Teff	ZBTB17	-0.051	0.347	0.981	0.846	FALSE	FALSE	FALSE	FALSE
Teff	ARHGEF19	-0.071	0.778	0.985	0.689	FALSE	FALSE	FALSE	FALSE
Teff	FBXO42	0.012	-0.388	0.997	0.814	FALSE	FALSE	FALSE	FALSE
Teff	SZRD1	0.279	0.736	0.598	0.518	FALSE	FALSE	FALSE	FALSE
Teff	NECAP2	-0.344	1.192	0.213	0.208	FALSE	FALSE	FALSE	FALSE
Teff	NBPF1	0.269	-1.539	0.873	0.201	FALSE	FALSE	FALSE	FALSE
Teff	CROCC	0.236	-2.04	0.887	0.156	FALSE	FALSE	FALSE	FALSE
Teff	ATP13A2	-0.129	0.407	0.933	0.844	FALSE	FALSE	FALSE	FALSE
Teff	SDHB	0.143	0.193	0.857	0.875	FALSE	FALSE	FALSE	FALSE
Teff	RCC2	-0.118	0.149	0.932	0.917	FALSE	FALSE	FALSE	FALSE
Teff	IFFO2	0.285	-0.327	0.788	0.814	FALSE	FALSE	FALSE	FALSE
Teff	UBR4	-0.069	-0.51	0.957	0.708	FALSE	FALSE	FALSE	FALSE
Teff	EMC1	0.312	0.605	0.713	0.72	FALSE	FALSE	FALSE	FALSE
Teff	MRTO4	0.134	0.338	0.859	0.804	FALSE	FALSE	FALSE	FALSE
Teff	AKR7A2	-0.228	1.373	0.784	0.389	FALSE	FALSE	FALSE	FALSE
Teff	PQLC2	-0.129	1.09	0.964	0.565	FALSE	FALSE	FALSE	FALSE
Teff	CAPZB	-0.396	0.998	0.162	0.351	FALSE	FALSE	FALSE	FALSE
Teff	MINOS1	0.32	0.835	0.639	0.519	FALSE	FALSE	FALSE	FALSE
Teff	NBL1	0.039	-1.163	0.987	0.489	FALSE	FALSE	FALSE	FALSE
Teff	TMCO4	-0.073	0.075	0.969	0.966	FALSE	FALSE	FALSE	FALSE
Teff	OTUD3	0.128	-0.534	0.955	0.74	FALSE	FALSE	FALSE	FALSE
Teff	UBXN10-AS1	-0.715	-0.058	0.724	0.98	FALSE	FALSE	FALSE	FALSE
Teff	CAMK2N1	0.023	0.844	0.994	0.492	FALSE	FALSE	FALSE	FALSE
Teff	MUL1	-0.098	2.147	0.959	0.106	FALSE	FALSE	FALSE	FALSE
Teff	PINK1	-0.019	1.648	0.994	0.273	FALSE	FALSE	FALSE	FALSE
Teff	DDOST	-0.058	1.227	0.96	0.301	FALSE	FALSE	FALSE	FALSE
Teff	HP1BP3	-0.157	-0.229	0.711	0.808	FALSE	FALSE	FALSE	FALSE
Teff	EIF4G3	-0.571	-1.469	0.458	0.154	FALSE	FALSE	FALSE	FALSE
Teff	ECE1	-0.13	-0.398	0.912	0.826	FALSE	FALSE	FALSE	FALSE
Teff	NBPF3	0.156	0.021	0.97	0.993	FALSE	FALSE	FALSE	FALSE
Teff	USP48	-0.305	-0.679	0.466	0.557	FALSE	FALSE	FALSE	FALSE
Teff	CDC42	0.24	0.321	0.638	0.793	FALSE	FALSE	FALSE	FALSE
Teff	ZBTB40	-0.13	-0.161	0.912	0.905	FALSE	FALSE	FALSE	FALSE
Teff	KDM1A	-0.179	-0.461	0.747	0.745	FALSE	FALSE	FALSE	FALSE
Teff	LUZP1	-0.517	0.317	0.542	0.773	FALSE	FALSE	FALSE	FALSE
Teff	LINC01355	-0.605	-2.6	0.385	0.144	FALSE	FALSE	FALSE	FALSE
Teff	HNRNPR	0.096	0.68	0.888	0.514	FALSE	FALSE	FALSE	FALSE
Teff	ZNF436	-0.222	1.119	0.929	0.444	FALSE	FALSE	FALSE	FALSE
Teff	TCEA3	-0.413	-1.551	0.821	0.36	FALSE	FALSE	FALSE	FALSE
Teff	ID3	0.755	1.299	0.487	0.33	FALSE	FALSE	FALSE	FALSE
Teff	RPL11	0.012	0.595	0.996	0.532	FALSE	FALSE	FALSE	FALSE
Teff	PITHD1	0.367	0.783	0.341	0.486	FALSE	FALSE	FALSE	FALSE
Teff	LYPLA2	-0.089	1.015	0.936	0.521	FALSE	FALSE	FALSE	FALSE
Teff	GALE	-0.326	0.27	0.8	0.879	FALSE	FALSE	FALSE	FALSE
Teff	HMGCL	-0.283	0.546	0.772	0.675	FALSE	FALSE	FALSE	FALSE
Teff	FUCA1	-0.946	-0.587	0.198	0.753	FALSE	FALSE	FALSE	FALSE
Teff	PNRC2	0.082	0.146	0.893	0.898	FALSE	FALSE	FALSE	FALSE
